微博id,微博发布时间,发布人账号,微博中文内容,微博图片,微博视频
4.45605E+15,01月01日 22:37,娃斯基,新年新气象，热腾腾的元旦，早上起来就像枕着石头子儿睡了一宿，头昏脑胀，到了中午开始发烧，颈椎疼，肉皮疼，我儿子仿佛意识到敌方气焰比较低迷大显身手上窜下跳，强挺着把老张等回来了吃了药吃了饭到熄灯的前半小时终于感觉像个正常人烧也退了脑袋也不疼了，顿时感觉没病真他娘的好啊?,[],[]
4.45604E+15,01月01日 21:41,qilmeg其,2020年第一天是用发烧迎接的，考期就感冒了，身体素质不知道为什么这么差。但想想自己一直以来都很幸运啊，所以以后要好好的。刚喝着雪梨膏突然想到了一件很暖的事情。在初中的时候，因为咳嗽喝急支糖浆，味道不好咽不下去很难受，当晚上又要喝药的时候发现盒子里多了两个大白兔奶糖，真的特别感动啊，?展开全文c,[],[]
4.45604E+15,01月01日 21:41,表妹朵朵,2019年最后的几个星期，老天爷好像把我一年的水逆都集中这几天返给了我。工作上的阴差阳错竟然比电视剧还敢演，真是欲哭无泪。哥哥和妹妹一起生病，压倒了我最后一根稻草，说好去参加哥哥的联欢会，因为妹妹发烧没能去成，当我正在想怎么跟哥哥解释的时候，哥哥说：妈妈我自己可以。老母亲我无语凝?展开全文c,['https://ww2.sinaimg.cn/orj360/69ae99f8ly1gahdjzglafj20u0140tcs.jpg'],[]
4.45604E+15,01月01日 21:28,想吃草莓西瓜哈密瓜,本命年第一天就感冒发烧小时候爸妈逼着吃药，现在自己找药吃?,[],[]
4.45607E+15,01月01日 23:55,Resetme_,2020.1.1新年愿望身体健康(不要再发烧感冒)考研顺利(要坚持)开心自在平安可爱?,"['https://ww4.sinaimg.cn/thumb150/006SnBXkgy1gahi0dqaifj30qn0uyq64.jpg', 'https://ww4.sinaimg.cn/thumb150/006SnBXkgy1gahhvx7k0yj30qo0vbdgw.jpg', 'https://ww1.sinaimg.cn/thumb150/006SnBXkgy1gahhvwiqb3j30qj0wcq80.jpg']",[]
4.45607E+15,01月01日 23:51,喵爷七月,很好，我最怕的在总住院期间感冒这件事情真发生了，不过还好昨天发烧之后今天没有继续了#总是住在医院的我#?,[],[]
4.45607E+15,01月01日 23:47,小姐你男朋友掉了,"【宝宝发烧家长常犯的几个错误】1捂被发汗.正确做法是让孩子衣物宽松,和平时一样多就可以了,鼓励孩子多饮水.2盲目相信输液.能吃药不打针,能打针不输液,这是一个医学常识.3一发烧就服退热药:可能带来一些副作用.4酒精擦浴冷水擦拭降温.5服药困难要求肌肉注射退烧.?",['https://ww1.sinaimg.cn/orj360/b11d5a6fgy1gahhtzozrzj209k06et8u.jpg'],[]
4.45607E+15,01月01日 23:39,加了野牛草的伏特加,昨天中午就一路赶着回来见我哲和昶昶什么晚高峰巨大客流量真是让人焦急好容易晚上见到了问吃啥要干嘛都随便(我刀呢！)带着喝了杯茶颜走过了太平老街IFS两人被挤的一脸生无可恋哈哈哈寻思找个酒吧坐会吧害都是年轻人的聚会老人们只配抱着酒回宾馆中间还有一个人视频游戏就问你酒?展开全文c,['https://ww3.sinaimg.cn/orj360/006Ahy0tgy1gahhl46kwfj33bc1v54qr.jpg'],[]
4.45606E+15,01月01日 23:10,小小小小张小小小小,毕业后的每一年，奶妈都约我说来长沙玩，2019年终于来了，见了一面，还让奶妈排的队吃上的饭，光顾着拍菜，都没自拍，饭桌上还说起了大一那年的H1N1，下午就被风吹的发烧，说好的跨年都没一起，来了三天在酒店呆了两天，太多的遗憾啦，@韩梅梅小公子下次再约了！！！2020身体健康，吃嘛嘛香?展开全文c,['https://ww2.sinaimg.cn/orj360/7a46c913gy1gahgr4ul5ej20pq0itq5u.jpg'],[]
4.45606E+15,01月01日 22:58,柠檬棒棒冰-,发烧???38度的我，依旧精致2株洲?,"['https://ww1.sinaimg.cn/thumb150/007vFtABgy1gahgekz92lj30u00u0wna.jpg', 'https://ww3.sinaimg.cn/thumb150/007vFtABgy1gahgeiwq5lj30u00u0q8v.jpg', 'https://ww2.sinaimg.cn/thumb150/007vFtABgy1gahgemoobsj30u00u0wjs.jpg', 'https://ww2.sinaimg.cn/thumb150/007vFtABgy1gahgeolyjvj30u00u0gu4.jpg']",[]
4.45605E+15,01月01日 22:37,撒冷Selen,发烧发烧，太惨了，喉咙又痛，整个人太热了，像火炉一样，睡不着……?,[],[]
4.45605E+15,01月01日 22:35,A试药员招募,【北京连住3天7600】只要女生/无烟检，有胸片【药物】断金戒毒胶囊（中药成分）【补贴】7600元（6100元补贴+1500元依从性奖励）建行卡??要求如下：1）、年龄要求：19-40岁；2）、体重：体重指数BMI：19—27之间，男≥50KG，女≥45KG；3）、身体健康：无过敏史、手术史，?展开全文c,[],[]
4.45605E+15,01月01日 22:33,翟·钮祜禄·依萍,连续发烧第四天……从来没有感受过如此健康的作息时间，新的一年并没有很好的开始，这几天追星都llllllllllllb了，这几天是流行双人有个崭新的开始了嘛？被好几个眼熟的双了……还没双到我的可以加快一丢丢步伐，留下的人等我好了2020会加倍爱你[米奇比心]?,[],[]
4.45607E+15,01月01日 23:53,进阶的小汤圆,2020的第一天发烧，工作，录音录到呕吐被哮喘的噩梦笼罩难怪最近录音总是觉得会喘不上气被BOSS电话支配的恐惧被工作压得喘不上气做个问卷调查还显示我中度抑郁，中度焦虑，重度压力我心想我也就只是这最近状态有点不好这个有点扯吧不过症状全中，看来我确实要调整一下了愿大家都有个好身体2?展开全文c,['https://ww4.sinaimg.cn/orj360/005WEo6Ely1gahhzzchncj30cf1ee0w2.jpg'],[]
4.45607E+15,01月01日 23:51,绿春一曲离伤离人肠,爱情只是一时的发烧，退烧只后你会发显你我一无所有。?,[],[]
4.45607E+15,01月01日 23:38,韩潇涵H,我在岳云鹏超话等级达到LV.4，获得老发烧友头衔，老铁双击666，来岳云鹏与我畅聊吧！?,[],[]
4.45607E+15,01月01日 23:33,和我一起拍皮球vv,昨天晚上和发烧的范男朋友一起跨年脸颊红润的范太可爱了(??.??)（我知道很难受）～可是范踢被子，我不能忍受！太讨厌啦以后要买大床被好吗！！2020新年倒计时，我们一起等候新的一年的到来。对于未来，我们都要好好的生活，做最好的自己，谈最长久的恋爱，接最甜蜜的吻～bb爱你想把你?展开全文c,[],[]
4.45607E+15,01月01日 23:32,listen疯,2020年的第一天，叮当生病了这一次生病我不在身边，想起她以前生病时的模样，我难过和她视频全程我都忍住眼泪，不敢看屏幕，看着她发烧烧红的脸蛋，刚吃药哭过还有泪水的眼睛，她看到我没有哭着要妈妈，外婆说明天就好了，她还应和着用她软软的声音说好了，我更是难受，是她真的长大懂事了一些，还是?展开全文c,[],[]
4.45607E+15,01月01日 23:54,小萍的慵懒时光,2020的第一天，胖硕发烧了2020愿所有宝宝吃嘛嘛香，身体倍儿棒！愿所有人身体健康，平安喜乐！再见了2019，2020会更好～?,['https://ww1.sinaimg.cn/orj360/6c4c989egy1gahhztgzkbj22c0340kjl.jpg'],[]
4.45607E+15,01月01日 23:54,本是说时依旧,“我遇到过很多人。有人让我发烧，我以为那是爱情，结果烧坏了所有。有人让我发冷，从此消失在生命里。有人让我觉得温暖，但仅仅是温暖而已。只有你，让我的体温上升0.2摄氏度。”?,[],[]
4.45607E+15,01月01日 23:48,kenpy,我可能是个香菇精，我有空要买2斤香菇泡发烧肉一顿吃好！?,[],[]
4.45607E+15,01月01日 23:48,八一_喵喵,2020第一天本命年第一天发烧了但知足。有他有战友就够了以前啊总想要轰轰烈烈的爱情现在平淡就满足了。?,"['https://ww2.sinaimg.cn/thumb150/005ZGWm6ly1gahhszzxl6j31400u0n02.jpg', 'https://ww1.sinaimg.cn/orj360/005ZGWm6ly1gahhszkldcj31400u00wi.jpg']",[]
4.45607E+15,01月01日 23:46,My_Best_H,感冒发烧??好内疚?,[],[]
4.45607E+15,01月01日 23:41,致遇青春,现在是2020年的第一天十一点四十分我要看着我老大，不会发烧，不会咳嗽，夜里不会被噩梦惊醒，最委屈的一天我要看着它结束，将不会再来，有我在任何人都不可以让你流眼泪，受委屈。?,[],[]
4.45607E+15,01月01日 23:38,天好我就晒被子2015,2020年一月一日，天气晴。今天一天都是在医院度过，上午看医生已经虚到走不动道，下午输液输了六个小时，回来依然鼻塞，但是体温终于正常了，期待晚上不要发烧了。答应的陪女儿逛街和陪我妈买衣服都没能去成、元旦过的非常不好?,[],[]
4.45607E+15,01月01日 23:35,糖水小夢呆,2020年，注定要红红火火吧，七白人生第一次发烧如果没记错，七白人生第一次感冒是猪年春节，所以七白啊，这是你的特有的迎新方式么？?,[],[]
4.45607E+15,01月01日 23:28,许小桔,#新年心愿#昨晚满怀期望告别2019迎接2020今早发烧的发烧失声的失声胃疼的胃疼2020看来是要“渡劫”的一年?,['https://ww4.sinaimg.cn/orj360/504732f8gy1gahh8ekcs0j21o01o0e81.jpg'],[]
4.45607E+15,01月01日 23:40,给你一朵小花妹妹,2020新的一年，希望你锻炼身体，少感冒发烧就好，稍微长大一点稳重一点，而我要安排好计划做自己想做的事情，立的flag不能倒！?,[],[]
4.45607E+15,01月01日 23:37,明年今日啦啦,人在武汉，发烧了，慌的一匹。2武汉·中南财经政法大学弘博环湖学生公寓?,[],[]
4.45607E+15,01月01日 23:33,咸鱼小九月,2019年的最后一天你牵了我的手2020年的第一天你也牵了我的手第一次牵男孩子的手，有点紧张你说元旦礼物提前送出去了，今天重新送我一份，要把自己送给我，这个礼物我收下了，你以后都别想拿回去了今天发烧洗头，你不让我洗，我说，头发没长在你身上你不难受；你说，没长在我身上，但是长在我心上啊?展开全文c,[],[]
4.45607E+15,01月01日 23:33,Smorning·,2019最后一天发烧2020第一天嘴巴起泡是要干嘛?,['https://ww2.sinaimg.cn/orj360/006Uk8Qxly1gahgydcp9uj30go0gojso.jpg'],[]
4.45607E+15,01月01日 23:32,快乐小真,算是搞不成器了，我发烧了?,[],[]
4.45606E+15,01月01日 23:14,胖蛋蛋和毛球球,2020第一天，发烧无力冒冷汗我觉得这一年也不会好了，不过还是希望能做以前那个白白胖胖有胃口的憨憨。恶心的人不要再想，也不要再听。不对他人抱有希望，做个自私自利的小小人?,['https://ww3.sinaimg.cn/orj360/883c00c5gy1gahgvlorq3j20k00k00tg.jpg'],[]
4.45606E+15,01月01日 23:11,ecueil,《发烧》脑袋晕晕糊糊在叫嚣要和思念一起爬到你身上?,[],[]
4.45606E+15,01月01日 23:11,小娄子呀lalala,新年第一天在反复发烧中度过?,[],[]
4.45606E+15,01月01日 23:01,瓶砸儿,@忘发烧了额@羽飞V,['https://wx2.sinaimg.cn/large/a716fd45ly1gaey078p05j20ru0foq3v.jpg'],"['https://f.video.weibocdn.com/0005tZbylx07zLCJ8rjO010412006E780E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1582139658&ssig=2IgMdfvAVA&KID=unistore,video']"
4.45607E+15,01月01日 23:47,梦中醉醉,"孩子发烧,退烧药怎么选?世界卫生组织推荐的儿童退烧药就这两种孩子发烧,退烧药怎么选?世界卫生组织推荐的儿童退烧药就这两种O网页链接?",['https://ww3.sinaimg.cn/orj360/893bb033ly1gahhtp8au1j20hs0bvjsd.jpg'],[]
4.45607E+15,01月01日 23:32,卿卿酱er,2020第一天，从发烧开始哦???,['https://ww3.sinaimg.cn/orj360/8d51d8e5ly1gahhedudvij20ty10c79d.jpg'],[]
4.45606E+15,01月01日 22:45,筑愿king,像个傻子，发烧的症状那么明显，上大学之后抵抗力不行了2019发了好几次烧照顾好自己吧酒肉朋友就OK?,[],[]
4.45605E+15,01月01日 22:41,BabyMoli,【2020.01.01】新年第一天，早晨带着宝贝打了狂犬疫苗的第二针，为了保养，担心在发烧，打完针去完超市回家，一天没有出门，家有小旋风，笑声不断，爸爸妈妈只愿你健康快乐长大……?,"['https://ww4.sinaimg.cn/thumb150/006PCdG5ly1gahfmuj2edj30u01400yv.jpg', 'https://ww1.sinaimg.cn/thumb150/006PCdG5ly1gahfmw2x37j30u0140gqg.jpg', 'https://ww3.sinaimg.cn/thumb150/006PCdG5ly1gahfmvir55j30u0140agv.jpg']",[]
4.45605E+15,01月01日 22:36,潜水的妮儿,2020年跨年……发烧39.5，感恩的是，早晨烧退了，还得到了小老鼠的礼物??，haha，郁闷为什么跨年会发烧，大概是旺旺旺吧～事业旺，身体旺，爱情旺～依然是那个不将就，追求纯粹的人愿望悄悄许…从养生开始…巴拉巴拉，还是祝大家元旦节快乐，小老鼠在这里给大家拜年了??展开全文c,"['https://ww2.sinaimg.cn/orj360/afc5da71ly1gahfna56cjj20qo1be77r.jpg', 'https://ww1.sinaimg.cn/thumb150/afc5da71ly1gahfnajkxyj20qo0w2dir.jpg', 'https://ww1.sinaimg.cn/orj360/afc5da71ly1gahfnauoo8j20zk0qoq8m.jpg']",[]
4.45605E+15,01月01日 22:34,熙熙伊伊妈咪GraceGuo,新年诗会上的熙熙，好美啊。昨天收到裙子后，她看了看：妈妈，为什么和我想象的不一样呢？我以为是白色纱裙或者是芭蕾舞裙那样的裙子，我觉得这个不漂亮～这次诗会主持人竞选时她发烧了，没去参加，略遗憾。希望明年的新年诗会她能挤进主持人行业，再一次突破自己。2呼和浩特?,"['https://ww1.sinaimg.cn/thumb150/6e4c2862ly1gahflh6pn2j22402tcu11.jpg', 'https://ww2.sinaimg.cn/thumb150/6e4c2862ly1gahflqcq2ej22402tc4qx.jpg', 'https://ww1.sinaimg.cn/orj360/6e4c2862ly1gahfm0kngpj22402tcu13.jpg', 'https://ww2.sinaimg.cn/thumb150/6e4c2862ly1gahfm9kc8cj22402tc1l4.jpg', 'https://ww2.sinaimg.cn/orj360/6e4c2862ly1gahfmev3dhj22402tcb2e.jpg', 'https://ww4.sinaimg.cn/thumb150/6e4c2862ly1gahfmllnkoj22402tcx6t.jpg']",[]
4.45605E+15,01月01日 22:32,用户徐老五,2020年1月1日加油??祈祷！新年的第一天陪同女儿与病魔抗战的第116天，早晨女儿睁开眼睛轻轻对我说的第一句话妈妈新年快乐！我的?都融化了，她开心我就高兴！女儿状态好我就不累??因为昨天终于结束了第六次化疗，每次进院各种检查，抽血，化验，化疗期间的每分每秒都想跳跃着过去，还是没逃?展开全文c,"['https://ww1.sinaimg.cn/thumb150/007ZHxu4gy1gahfiy4aw5j30ku0ks74v.jpg', 'https://ww2.sinaimg.cn/thumb150/007ZHxu4gy1gahfiypomnj30ku0ks750.jpg', 'https://ww3.sinaimg.cn/thumb150/007ZHxu4gy1gahfizhu0aj30ku0ks0tc.jpg', 'https://ww4.sinaimg.cn/thumb150/007ZHxu4gy1gahfix7lzcj30ku0kst9o.jpg', 'https://ww2.sinaimg.cn/thumb150/007ZHxu4gy1gahfjk4to0j31400u0q71.jpg', 'https://ww4.sinaimg.cn/thumb150/007ZHxu4gy1gahfiwbrsej30ku0ks74n.jpg', 'https://ww2.sinaimg.cn/thumb150/007ZHxu4gy1gahfivho2rj30ku0kuwfa.jpg', 'https://ww1.sinaimg.cn/thumb150/007ZHxu4gy1gahfiurq7vj30ku0kumxr.jpg', 'https://ww1.sinaimg.cn/orj360/007ZHxu4gy1gahfitzpaij30ku0kudgo.jpg']",[]
4.45604E+15,01月01日 21:53,布鲁千一,2019年就是怕挂科，失眠，发烧呗?,"['https://ww3.sinaimg.cn/thumb150/005LoO2aly1gaheicl2nzj30u01rc194.jpg', 'https://ww2.sinaimg.cn/thumb150/005LoO2aly1gaheidu6baj30u01rc7io.jpg', 'https://ww3.sinaimg.cn/thumb150/005LoO2aly1gaheieg0ypj30u01rcwvb.jpg']",[]
4.45604E+15,01月01日 21:30,叫我狗婧,跨年打麻将到凌晨五点，运气爆棚！！第二天开始发烧#hello一月#2赤峰?,['https://ww4.sinaimg.cn/orj360/0071aNZqly1gahdvb1m1vj30u00u0442.jpg'],[]
4.45603E+15,01月01日 21:12,雨倪亦是旻寒,发烧38度人差点傻了,['https://ww1.sinaimg.cn/orj360/006EjcVZly1gah6zt53plj30u010rak4.jpg'],[]
4.45607E+15,01月01日 23:32,安琪琪公举,#萌娃养成记#2020年1月1日，这真是让人难忘的日子，早上六点被我爸猛地一推门吓得从床上弹起来，我妈就在骂我，原来是昨晚手机关静音了，我崽有点发烧，闹一晚上。早上急急忙忙带她去退烧，上午睡了一会，中午又去做雾化，下午一直都在玩，五点多又开始睡，睡了一会，就醒了，一直想睡，可就是不睡，?展开全文c,[],[]
4.45606E+15,01月01日 23:14,吃米长大的二叶律,宿舍两个发烧的可怜宝贝，我和玉状态比较好一点。躺床上打个喷嚏她就给我泡了感冒灵，还给我吃了维生素软糖，葡萄味的太好吃啦。但是她倒太多水了一杯子递给我喝的我直打嗝嘎嘎嘎新年真快乐。?,[],[]
4.45606E+15,01月01日 22:49,锦带绿川怎无伤,应该是前年？去年？国庆，我发烧了，今年元旦，我感冒了，平时身体好的跟牛一样的人每天被病原体们包围也扛不住了……感冒真难受?,[],[]
4.45605E+15,01月01日 22:41,乌冬不是污咚,一回家就开始发烧感冒鼻炎真的太难了?,[],[]
4.45605E+15,01月01日 22:32,黑芝麻糊涂-,我为什么要在2019年最后一天和2020年第一天发烧我的年终总结都还没写呢呜呜呜???,[],[]
4.45605E+15,01月01日 22:24,MeiChen_阳,2020第一天就感冒发烧???脑壳疼～?,['https://ww1.sinaimg.cn/orj360/c4df3af8gy1gahfcky4m0j20i00i0adf.jpg'],[]
4.45605E+15,01月01日 22:19,思雅考完雅思来改名,#新年心愿#新年第一天发烧，不开心！没有办法喂奶，内疚自责?,['https://ww3.sinaimg.cn/orj360/006b4p3sgy1gahf9ni52ej31w02iob2a.jpg'],[]
4.45605E+15,01月01日 22:18,励志班二连陈霞,头晕发烧...这是什么人间疾苦2020求求您对我好点吧明天还要考试呢脑豁疼(*'へ'*)2吉安?,['https://ww1.sinaimg.cn/orj360/006RdF88gy1gahf8wpjjuj30c80c4dga.jpg'],[]
4.45606E+15,01月01日 23:07,攒着是因为想写成,新年的第一天我和他双双感冒发烧拉肚子真是绝了难受新的一年里别再感冒了?,[],[]
4.45605E+15,01月01日 22:27,坤坤Queeny,印象里上一次感冒发烧还是在我很小的时候，这一次流感看来很厉害，我居然感冒了，虽然有其它的因素存在，但是看样子我真得锻炼了?,[],[]
4.45606E+15,01月01日 22:46,Manjusaka丶昔年,新年第一天就感冒发烧挂点滴冷敷退烧，遭罪啊开年就这么不顺、还好你在。2青海省·海西蒙古族藏族自治州?,['https://ww4.sinaimg.cn/orj360/005vbYEJly1gahg1nferxj317i2m87wh.jpg'],[]
4.45605E+15,01月01日 22:38,小鱼没有猫咪,第一天就你妈发烧了太顶了cao?,"['https://ww4.sinaimg.cn/orj360/005YaSVDly1gahftr9u5cj30hs0gawii.jpg', 'https://ww1.sinaimg.cn/orj360/005YaSVDly1gahftw6dcyj30hs0lqmyq.jpg', 'https://ww2.sinaimg.cn/orj360/005YaSVDly1gahftvqp3tj30aw0a4dgo.jpg']",[]
4.45604E+15,01月01日 21:55,脆骨又嗜睡,2020第一天发烧???这一年怕是要红红火火！?,['https://ww4.sinaimg.cn/orj360/6f1d06ccly1gahel2o2syj20zl0k1agv.jpg'],[]
4.45586E+15,01月01日 10:07,oo喏,发烧跨年希望新年第一天烧退了也算是新年新开始?,['https://ww4.sinaimg.cn/orj360/005IRIGOly1gagu3lwsmbj30ec0g2gmv.jpg'],[]
4.45586E+15,01月01日 09:44,weiHongy_,2019以感冒发烧结束希望2020能好运爆棚新年快乐哦?,['https://ww4.sinaimg.cn/orj360/005SProgly1gagtfke07pj30yi0yi7ab.jpg'],[]
4.45585E+15,01月01日 09:15,十个海海,2019年年底连着两周加班，接着孩子发烧，再自己继续发烧，到了2020年的第一天，大姨妈又来了，果然2020年要开门红啊！?,[],[]
4.45607E+15,01月01日 23:54,我知道你的一切-yang,2020年第一天下午做志愿者在外面可能是冻着了回家一测体温就发烧了38.9吃了片布洛芬就睡觉捂汗睡了一觉出了一身汗做梦都是大明风华饿醒了起来觅食在看我女神测体温36.6这大体格子也不是白长的一开始还合计明天正常去住院部突然想到要跟师睡了睡了完美的又开始啦[米奇比心]?,"['https://ww1.sinaimg.cn/thumb150/9665c775ly1gahhtid2m7j21ds0n0x6q.jpg', 'https://ww3.sinaimg.cn/thumb150/9665c775ly1gahhsuuewqj23402c0e81.jpg']",[]
4.45607E+15,01月01日 23:28,美少女壮战士_shelly宇,#shelly的小日记##shelly的励志流水账#倒计时30/16培训的日子要过半了要过半了太棒了！这两天连续发烧，今天奖励了一顿好吃的是我期待已久的日料，其实也是误打误撞都到了这条街，看到了这家店，之前同学给我推过，我在小红薯的探店推文里也看到过。今天完全没刻意找，你说这不就是?展开全文c,['https://ww2.sinaimg.cn/orj360/006uLEFely1gahgwh4xxhj30u01hc4qq.jpg'],[]
4.45607E+15,01月01日 23:28,是玺陌啊,真的红红火火到发烧了,"['https://ww4.sinaimg.cn/thumb150/a477d4e9ly1gahhcwwdn8j22o82o8wrv.jpg', 'https://ww3.sinaimg.cn/thumb150/a477d4e9ly1gahhcx21inj217x0u0tc1.jpg']",[]
4.45607E+15,01月01日 23:23,哈尼酱紫_HONEY,#新年心愿#新年愿望目前来说就是感冒快好，发烧快退！期末考好2020的第一个晚上，38度，我也是很奈斯了?,['https://ww4.sinaimg.cn/orj360/006xCId8ly1gahh34k5rcj31430u0q7o.jpg'],[]
4.45606E+15,01月01日 23:16,珠珠球2011,在这19年的辞旧和20年的迎新中，我连续两天都在发烧，希望19的不如意从此时终止，2020年好运连连2大连?,['https://ww2.sinaimg.cn/orj360/82057c99ly1gahgxl64x5j22ao328b2f.jpg'],[]
4.45606E+15,01月01日 23:12,大肥兔几呀,发烧38.6的感觉真是不好折腾一天现在终于活过来了?,[],[]
4.45606E+15,01月01日 22:45,嘻嘻ying,万万没想到啊，2020年的第一天，我竟然是在嘻姐的反复发烧和熬半夜补笔记中度过的希望被新的一年温柔以待！??2四平·伊通满族自治县?,['https://ww1.sinaimg.cn/orj360/6e59c85aly1gahfyjzkpij20u0140772.jpg'],[]
4.45606E+15,01月01日 23:11,L___MJ,2020第一天就发烧感冒打喷嚏硬拽着老公出去吃了个鱼??希望接下来一年红红火火闷声发大财?,"['https://ww3.sinaimg.cn/thumb150/71dbb8b9ly1gahgqsroqaj21o02you0x.jpg', 'https://ww4.sinaimg.cn/thumb150/71dbb8b9ly1gahgowhv5aj21o02yob29.jpg']",[]
4.45606E+15,01月01日 23:07,就不吃饭啊,新年第一天就生理期加发烧太难受了啥他妈2020会对我好都是假的?,[],[]
4.45606E+15,01月01日 22:50,高梓超有篮儿,2020第一天发烧???感冒???,"['https://ww1.sinaimg.cn/thumb150/8d9d8799ly1gahg5b607tj21400u0gw7.jpg', 'https://ww3.sinaimg.cn/thumb150/8d9d8799ly1gahg5bsijmj21400u0ads.jpg', 'https://ww3.sinaimg.cn/thumb150/8d9d8799ly1gahg6i55h1g20c80a9tbf.jpg']",[]
4.45606E+15,01月01日 22:46,哈璐妹,别人的跨年自拍＋跨年电影＋狗狼我的跨年夜班＋发烧＋感冒?,"['https://ww4.sinaimg.cn/thumb150/006nASR0ly1gahg1bagyij30hs0hs0tv.jpg', 'https://ww3.sinaimg.cn/thumb150/006nASR0ly1gahg20accoj30hs0hsgms.jpg']",[]
4.45605E+15,01月01日 22:25,捏捏草莓,D1887，今天草莓吃坏了肚子，发烧呕吐没精神，我去奶奶家接她，可怜兮兮的软成一团，接回家睡了整整一下午，半中间起来和我说肚子不舒服，我给揉了揉，就又眯着睡着了，快6点钟醒来，起来就说妈妈我没事了，不难受了。谢天谢地你终于没事了?,['https://ww4.sinaimg.cn/orj360/6d0ec519ly1gahfgpk2v5j22c03407l8.jpg'],[]
4.45605E+15,01月01日 22:16,张佳丽吖,早上发烧晚上痛经希望新的一年大家都可以平平安安身体健康2晋城?,[],[]
4.45607E+15,01月01日 23:54,奥粒粒要上岸,19年于我而言也太不顺了叭～比如年末好不容易报了个面试培训班，结果老师连最基本的知识点都讲不对～比如跟我男朋友吵了无数次的假～比如工作停止不前～公考也没有上岸～可我觉得最坏的应该是在今年的本命年～新年第一天，就丢我独自一人面对男朋友爸爸，摔坏了自己的TF口红，还有好不容易回家却?展开全文c,"['https://ww1.sinaimg.cn/thumb150/006e8d1Ily1gahhwx54vyj30oi07b3yi.jpg', 'https://ww2.sinaimg.cn/thumb150/006e8d1Ily1gahhwy11g6j30yi0svn0m.jpg', 'https://ww1.sinaimg.cn/thumb150/006e8d1Ily1gahhwyi2h2j30ha0eit9w.jpg', 'https://ww4.sinaimg.cn/thumb150/006e8d1Ily1gahhwyvw9uj30k00qoach.jpg', 'https://ww4.sinaimg.cn/thumb150/006e8d1Ily1gahhx5drm8j30h10sgtbm.jpg', 'https://ww4.sinaimg.cn/thumb150/006e8d1Ily1gahhwzsb34j30c80c83z5.jpg']",[]
4.45606E+15,01月01日 22:43,帮我关一下月亮L,??年快乐??感觉一年一年无比的快今年又是以发烧结束了2019感恩2019年的一切??一年会比一年好吧???,[],[]
4.45605E+15,01月01日 22:16,Yang--诺诺,生日之于还买几张彩票，不知道明天会不会-_-||中个大奖啊！要不要给点好运气中个小奖也可以哦(?-ω-`)（贪心的寿星）就是宝贝感冒发烧了，我更希望的是宝贝和家人健健康康，平平安安，明天起来宝贝感冒好了?,['https://ww2.sinaimg.cn/orj360/6d632b9dly1gahf5tig8hj20u0140qan.jpg'],[]
4.45604E+15,01月01日 21:43,夏虫虫300,我免费围观了@宠物医生-姚海峰博士的回答，问题价值100.00元，快来一起免费围观~O微博问答?,[],[]
4.45604E+15,01月01日 21:40,我爱小鱼呢,新年第一天，加班到发烧，没时间出去洗头，回来还要自己洗，想大哭一场?,[],[]
4.45603E+15,01月01日 21:20,我是糖糖糖糖糖糖啊,出去喝了些酒，回来怂怂的赶紧洗了个澡。妈妈说我鼻音有些重，还有些发烧，让我吃药。可我又不敢给她说我今天喝酒了所以吃不成感冒药。于是在她的注视下，我吃下了感冒发烧的药。嗯……希望我还可以看到明天的太阳。?,['https://ww3.sinaimg.cn/orj360/007YR9PTly1gahdkkujwij30g40g4wgb.jpg'],[]
4.45607E+15,01月01日 23:48,七只兔子菇,发烧了?,[],[]
4.45607E+15,01月01日 23:47,小老虎GNIT,终于把自己折腾病了今天因为发烧耽误了别人的工作进度烦死了烦死了烦死了?,['https://ww3.sinaimg.cn/orj360/006fiZ8hgy1gahhsscldpj31o02807wj.jpg'],[]
4.45602E+15,01月01日 20:13,廉5L,感冒发烧不想吃药打针那就挺着别说难受?,[],[]
4.45602E+15,01月01日 20:11,FsquareGeGe,感冒发烧不想吃药打针那就挺着别说难受?,[],[]
4.45599E+15,01月01日 18:39,znN温瞳,感冒发烧不想吃药打针那就挺着别说难受?,[],[]
4.45598E+15,01月01日 17:52,啾咪个屁,发烧跨年希望本命年不要再这么卑微了我今天就出门买红色单品还不行吗冲tmd！！2英国·伦敦?,[],[]
